score,label
-0.3060902,1
-0.3043026,1
-0.2962642,1
-0.2534704,1
-0.21972878,1
-0.19516289,1
-0.18439306,1
-0.16168818,1
-0.17587353,1
-0.1745172,1
-0.18801968,1
-0.23653078,1
-0.25537792,1
-0.29033875,1
-0.31415784,1
-0.30139238,1
-0.3040228,1
-0.310482,1
-0.29741004,1
-0.27691004,1
-0.24788077,1
-0.20727143,1
-0.2107797,1
-0.19987273,1
-0.21949203,1
-0.19280455,1
-0.21316467,1
-0.24339655,1
-0.25369573,1
-0.29152277,1
-0.31838468,1
-0.30317897,1
-0.30470338,1
-0.31422895,1
-0.27679932,1
-0.2686817,1
-0.20345522,1
-0.18536477,1
-0.15181297,1
-0.15559193,1
-0.16918859,1
-0.15354231,1
-0.1797155,1
-0.20274927,1
-0.2538246,1
-0.28995356,1
-0.2951785,1
-0.30888197,1
-0.30882314,1
-0.2982129,1
-0.25605068,1
-0.2331269,1
-0.16899703,1
-0.12582672,1
-0.117565036,1
-0.12589939,1
-0.14759819,1
-0.13668449,1
-0.14082783,1
-0.17390579,1
-0.20807643,1
-0.25785848,1
-0.29114828,1
-0.29546908,1
-0.30546936,1
-0.25537664,1
-0.21967715,1
-0.14020732,1
-0.11459913,1
-0.09919515,1
-0.10239424,1
-0.11620451,1
-0.13408,1
-0.1262202,1
-0.1140257,1
-0.13347712,1
-0.18040743,1
-0.2264716,1
-0.27152678,1
-0.28504774,1
-0.30418408,1
-0.21497966,1
-0.15646815,1
-0.09455072,1
-0.0621503,1
-0.059098497,1
-0.07604819,1
-0.10185025,1
-0.12778766,1
-0.11858335,1
-0.11666247,1
-0.12673755,1
-0.15762363,1
-0.2025524,1
-0.25532886,1
-0.2728016,1
-0.28610772,1
-0.20853174,1
-0.12118312,1
-0.09213366,1
-0.07677696,1
-0.07036046,1
-0.07319726,1
-0.097376086,1
-0.13062331,1
-0.12224514,1
-0.11632612,1
-0.12622564,1
-0.16009597,1
-0.19142097,1
-0.24803522,1
-0.24921879,1
-0.24717794,1
-0.19822478,1
-0.12134243,1
-0.070752226,1
-0.04912912,1
-0.043281984,1
-0.065823436,1
-0.10148683,1
-0.11373234,1
-0.11823237,1
-0.1165452,1
-0.119348764,1
-0.13324104,1
-0.17289999,1
-0.23416375,1
-0.23016416,1
-0.24908206,1
-0.18401362,1
-0.119705886,1
-0.0723806,1
-0.061846297,1
-0.056936532,1
-0.07653525,1
-0.103877276,1
-0.11297971,1
-0.11105342,1
-0.11505464,1
-0.11960103,1
-0.13120662,1
-0.1626178,1
